num_rooms,num_bathrooms,house_size_sqft,lot_size_sqft,age_of_house,location_score,crime_rate,school_rating,price
3,4,2412,5610,61,9,0.241,5,1165542.85
5,3,1792,9939,32,8,0.307,7,1305361.96
2,3,1100,7591,25,8,0.962,6,985488.28
7,4,880,7971,39,5,0.578,7,1108203.04
2,3,4713,3531,64,6,0.988,2,1020282.1
1,3,4137,1669,58,2,0.372,1,679868.83
4,2,2663,5966,14,3,0.458,7,1014890.36
7,5,4855,893,0,5,0.325,9,1628899.14
1,5,1598,3787,10,2,0.183,2,611906.76
4,2,865,9427,54,3,0.143,7,808721.7
2,4,3070,5747,1,4,0.945,3,957557.46
1,1,3919,7451,64,6,0.987,6,1026210.3
7,1,2976,7779,43,5,0.045,3,1183758.16
7,1,1290,7594,15,10,0.15,10,1507220.21
6,2,4069,7324,21,4,0.424,5,1284883.47
5,2,1246,3944,17,2,0.186,2,679632.1
3,3,812,4387,46,5,0.364,8,813072.13
4,1,1420,876,29,5,0.129,8,855724.72
6,4,1577,9807,9,7,0.457,7,1329621.25
3,4,3329,9759,57,1,0.272,6,991686.33
3,1,2881,7353,61,4,0.352,1,842940.27
1,1,4118,9097,79,5,0.094,8,1116768.14
3,1,1297,7494,5,8,0.428,1,898357.03
5,2,4943,3673,66,8,0.983,8,1429868.26
7,2,772,4146,40,1,0.329,2,627749.93
6,2,3510,7824,42,5,0.876,8,1343721.09
3,5,2273,3948,76,10,0.843,10,1285018.05
1,4,3047,1044,17,1,0.952,4,603215.56
5,4,3664,3425,57,1,0.79,7,1012406.96
2,3,1446,4649,59,2,0.66,5,585343.68
7,2,3165,9973,26,2,0.857,8,1261891.5
7,5,1006,8537,67,9,0.076,6,1357378.06
6,5,743,9133,21,4,0.463,5,1009568.93
7,4,1005,1692,23,3,0.989,1,703364.24
3,2,3658,6287,39,1,0.77,3,794361.64
1,3,4090,8051,73,2,0.962,10,1038181.57
7,2,2372,8110,65,6,0.78,9,1299927.09
7,1,4293,3199,39,9,0.875,9,1565976.89
2,2,1692,5440,5,5,0.707,5,844563.65
2,1,4925,3760,17,4,0.761,3,1031957.68
4,1,1964,8125,29,5,0.523,6,989394.63
5,3,890,2269,20,9,0.924,5,997931.71
3,4,4976,4174,61,7,0.825,1,1188212.71
7,2,3877,9647,9,8,0.844,2,1423884.89
7,1,1172,9034,12,4,0.673,5,1004385.74
1,2,3060,8723,75,8,0.305,9,1194436.83
4,4,1711,5922,8,6,0.036,4,1053729.58
5,4,1429,6187,67,5,0.936,9,1048006.38
4,5,2039,8431,38,7,0.586,3,1124716.43
6,4,1412,8026,23,6,0.298,1,1028352.34
5,3,1143,5908,33,3,0.149,6,869343.36
7,1,1001,3024,60,5,0.83,10,951013.67
7,5,1229,2910,40,9,0.837,7,1252155.59
5,3,1783,1757,4,7,0.815,4,1013359.42
7,2,2618,7946,78,4,0.645,10,1219112.93
3,1,4886,1360,49,7,0.366,5,1218923.02
5,4,4336,8213,3,5,0.304,4,1391707.36
4,1,1419,2112,50,2,0.009,3,561396.11
5,2,4550,2621,51,6,0.834,1,1122551.31
7,5,2839,6446,38,7,0.087,6,1453175.55
3,5,1255,5745,7,8,0.631,10,1241465.82
3,5,2369,6174,44,6,0.504,5,1080440.65
6,4,4972,3451,27,8,0.527,1,1406689.88
4,3,1007,5501,26,7,0.927,5,959392.96
2,3,1936,3677,64,2,0.032,6,708806.16
2,1,3075,6382,33,6,0.773,10,1128847.51
5,4,3926,6190,61,9,0.052,5,1475552.94
6,5,1058,4883,61,6,0.038,1,893403.37
1,5,3602,1545,37,4,0.43,5,897172.43
5,2,4122,9549,25,7,0.063,10,1590195.69
6,2,4899,1741,23,3,0.789,1,1077947.22
4,5,4557,4823,38,5,0.53,3,1242702.99
4,5,4215,3096,20,1,0.029,2,977091.72
4,4,1801,1739,46,10,0.041,1,1015181.5
4,3,2655,2410,47,3,0.613,4,825429.87
4,2,1192,7100,12,8,0.806,2,931335.46
6,3,4850,2525,2,9,0.438,5,1608470.49
6,4,1978,9976,31,9,0.555,10,1546263.21
3,5,756,9653,34,10,0.8,1,1070387.75
2,3,2930,7987,18,2,0.611,10,1066303.6
7,5,941,832,13,4,0.225,1,833672.06
4,5,2381,6785,47,5,0.613,10,1207864.71
1,1,3146,4214,67,3,0.628,4,685774.95
7,3,4320,1956,44,1,0.734,7,1161351.92
6,3,2235,3926,18,6,0.621,2,1028403.74
1,5,4235,9052,63,10,0.969,2,1321964.63
1,4,3145,2343,65,2,0.197,1,588948.04
1,1,518,1071,78,9,0.951,5,594142.0
3,5,1624,6095,65,1,0.538,6,733497.17
6,2,4485,4876,74,9,0.672,6,1475368.32
1,2,3154,6702,44,7,0.099,2,957434.91
4,1,2580,3509,73,10,0.381,7,1188474.28
5,4,2047,6021,66,2,0.769,6,861897.98
1,5,1361,9329,68,6,0.707,8,976028.02
3,3,654,7522,2,8,0.04,6,1023559.25
7,1,3994,9001,37,2,0.547,9,1332813.19
6,4,1404,4944,76,5,0.088,10,1127232.96
3,3,1769,6406,41,6,0.996,2,810127.56
1,2,904,7566,39,3,0.897,7,627912.09
6,2,1343,1530,49,2,0.021,5,709017.36
5,3,2282,5690,34,6,0.859,1,991510.85
1,1,2064,2448,23,3,0.919,3,513414.34
3,2,1684,5028,16,2,0.354,4,677862.06
2,5,1246,2930,39,1,0.72,2,449135.5
4,3,2225,5166,73,8,0.442,7,1111566.03
7,3,3688,2306,65,1,0.655,1,910254.31
3,2,770,2958,43,5,0.34,3,630915.49
6,1,4456,3716,22,6,0.323,9,1462695.87
1,5,671,4029,5,3,0.424,2,529268.46
4,1,773,7065,65,7,0.146,5,877412.24
1,4,2806,4936,20,2,0.831,4,737405.55
6,4,1658,3489,34,7,0.349,3,1076162.79
1,2,2206,7990,28,2,0.4,5,705069.77
2,2,2271,3610,6,5,0.894,6,868129.85
4,2,921,6952,52,7,0.497,1,801875.65
4,4,1709,812,36,3,0.544,2,687396.55
6,1,1390,6738,22,4,0.956,1,792709.46
7,1,3767,8799,7,1,0.887,3,1072176.52
2,2,1973,8019,75,3,0.169,8,817255.46
3,5,3743,6128,47,9,0.473,8,1470707.97
1,1,4978,4421,9,10,0.971,4,1306744.38
5,4,2681,4483,78,5,0.372,6,1103199.26
1,3,1949,8672,23,8,0.372,9,1116181.06
1,3,3596,6110,46,2,0.195,7,909395.21
3,3,3756,1452,52,3,0.114,2,835868.67
1,5,3656,6599,38,7,0.74,2,1029821.13
2,2,2090,9612,66,10,0.77,3,1027615.42
2,4,4739,4590,65,4,0.969,8,1187035.79
4,5,4481,2445,5,9,0.773,10,1641075.67
6,4,1935,5312,20,7,0.243,9,1367752.72
7,4,723,5559,72,1,0.04,3,728844.53
5,2,719,6674,73,4,0.985,9,849670.93
1,3,4774,4488,35,10,0.34,10,1539404.76
1,2,2154,8489,2,6,0.312,8,1060978.62
3,5,764,2179,77,6,0.906,5,671358.36
6,5,1453,5043,41,10,0.585,10,1406578.81
2,5,4233,7307,44,6,0.215,3,1219363.51
5,2,3274,8619,43,5,0.889,7,1238630.51
4,4,3624,9393,32,3,0.993,9,1270883.4
2,4,979,3453,59,2,0.087,6,575840.7
6,1,4014,6411,69,3,0.862,3,1052048.13
7,5,1853,6927,76,9,0.391,5,1356998.88
4,4,3822,4723,25,3,0.524,7,1188159.79
7,1,4378,9259,20,3,0.915,8,1424581.99
3,4,1389,6712,1,1,0.973,4,679585.48
3,5,4354,5930,46,2,0.262,2,1040498.68
1,3,1424,6239,29,3,0.213,10,834425.17
7,5,2670,8680,26,2,0.081,2,1121181.11
6,2,2402,7249,70,8,0.562,3,1157428.64
5,4,2895,2525,19,6,0.014,8,1276270.26
4,4,528,8322,49,7,0.412,1,818499.95
2,2,534,5584,22,1,0.073,7,557467.27
6,2,4089,2032,12,6,0.405,6,1352805.23
6,3,3170,9608,3,2,0.04,2,1107230.48
3,4,3865,9138,13,6,0.835,9,1443176.95
7,4,1088,8246,19,3,0.21,5,1041221.41
1,3,3718,5416,12,7,0.328,2,1064101.25
1,1,3638,5525,2,3,0.87,3,848336.0
4,3,1403,4477,77,9,0.746,7,1047989.07
3,5,4586,7087,46,3,0.219,7,1302300.94
6,4,2669,9280,2,7,0.072,10,1577962.54
5,2,839,2209,0,4,0.716,1,648742.68
3,5,4770,9005,23,8,0.391,10,1680693.97
4,4,2214,1056,34,2,0.766,4,735734.8
4,3,1056,2521,13,8,0.445,6,1001314.81
3,5,3587,2223,66,9,0.346,8,1323434.07
4,4,3766,5753,12,8,0.451,3,1332077.69
3,1,4067,3790,46,6,0.749,3,1011313.94
2,1,2556,1995,49,10,0.902,8,1109739.84
3,2,4399,5359,77,1,0.05,8,1043185.61
7,4,1516,5165,25,7,0.524,8,1256981.69
3,1,2562,2044,2,1,0.033,1,637916.15
4,3,1338,7566,50,7,0.468,8,1090908.98
7,4,2137,6102,39,2,0.885,8,1066229.57
4,3,4821,2106,67,8,0.362,2,1267195.1
1,3,3996,3202,35,2,0.932,9,945530.91
1,1,2313,1296,50,3,0.631,7,635295.27
7,4,3979,4199,0,3,0.934,8,1366674.44
2,5,1951,1709,32,1,0.757,2,526115.24
1,1,2813,1172,6,5,0.103,4,811329.94
3,1,2014,7036,51,5,0.231,7,928623.97
4,4,1731,2144,10,10,0.394,6,1187166.96
1,4,2145,9315,26,5,0.17,7,1037221.2
1,3,3499,3231,13,9,0.495,1,1036138.35
2,4,3940,5470,79,6,0.471,8,1177084.8
7,3,4556,3584,45,6,0.956,7,1476952.12
7,1,805,2495,75,3,0.434,4,638373.2
6,2,4036,2707,9,5,0.786,1,1079331.1
2,5,2223,5614,23,10,0.942,8,1299897.23
3,1,2189,1580,60,7,0.877,10,984352.73
7,4,2017,1819,17,3,0.209,7,1068116.9
4,5,4417,2203,8,2,0.496,8,1221009.99
2,2,919,2226,16,5,0.348,10,828033.4
1,2,3436,9655,57,3,0.4,1,774865.62
4,3,4362,6668,12,5,0.361,5,1340272.3
4,5,4729,810,49,9,0.826,9,1509355.39
1,3,1950,7130,5,10,0.452,5,1145397.5
2,1,3596,3625,50,1,0.524,10,895662.42
1,5,3761,8264,35,4,0.982,3,989806.96
6,1,1664,3803,70,10,0.06,9,1247265.31
4,3,2369,7995,24,5,0.488,9,1214123.48
5,5,2319,7520,10,2,0.774,4,975162.78
5,3,3205,3888,43,2,0.151,4,938176.72
3,5,4015,2589,13,1,0.612,8,1091226.18
7,3,1842,3836,28,8,0.239,7,1294504.82
1,2,2726,8177,73,2,0.867,5,661867.13
1,3,1579,8398,49,3,0.327,6,772531.18
3,2,4706,5638,4,2,0.329,3,1044429.78
3,3,3279,6672,71,4,0.598,6,1002464.85
3,5,3028,4453,68,1,0.184,8,936335.69
4,5,1313,5099,56,3,0.285,10,973791.54
6,5,2531,1773,25,5,0.417,9,1290052.09
1,4,822,7883,5,10,0.354,3,957898.64
4,1,3469,6294,15,1,0.525,8,1029929.04
3,5,1403,4206,59,4,0.6,3,738840.19
1,2,2041,5950,11,6,0.567,2,786326.7
4,5,4003,3929,74,4,0.654,5,1130985.47
6,4,3153,904,2,7,0.308,4,1286725.48
4,2,2976,8233,62,7,0.126,5,1154840.74
6,4,3840,8489,63,6,0.761,6,1433025.33
3,2,4743,4367,61,9,0.851,3,1241274.75
6,3,1641,5148,5,2,0.257,1,776823.67
1,1,1349,5190,18,10,0.407,4,913094.25
3,1,866,7611,17,8,0.499,6,1004188.81
1,4,3397,1981,79,8,0.533,2,925944.87
5,1,1589,5444,42,10,0.659,2,1042971.32
2,4,4541,6673,72,4,0.042,1,1046921.57
6,4,2538,5194,2,6,0.721,9,1353383.64
2,4,3360,4334,71,6,0.062,3,966711.27
2,1,4770,6644,37,5,0.468,2,1058035.3
6,4,2354,6739,67,1,0.828,4,892775.84
3,1,994,7275,75,3,0.451,6,641147.3
5,4,3682,2574,43,7,0.149,1,1209983.17
1,5,2284,9083,79,8,0.985,9,1172748.7
4,4,4010,1246,62,2,0.889,9,1045773.82
1,2,4286,908,41,3,0.771,8,933451.53
4,4,4630,4039,63,4,0.412,6,1204215.64
1,3,1498,6731,53,5,0.184,4,722311.34
6,4,4969,4853,77,3,0.941,2,1250371.69
5,2,1951,5337,76,5,0.532,8,1020632.49
4,2,2251,7161,70,8,0.852,7,1152961.96
7,1,2780,2045,75,8,0.342,4,1132436.39
3,5,3434,3520,36,2,0.335,3,933121.68
1,4,4234,9269,3,6,0.986,6,1311648.31
1,1,3846,8541,1,4,0.522,1,952372.43
4,5,2373,5905,43,9,0.141,2,1227972.28
3,4,4303,3722,66,10,0.22,7,1431218.21
3,3,2479,3313,67,2,0.482,3,646943.21
6,4,1198,9830,75,8,0.042,1,1055684.24
7,2,1812,3601,73,1,0.463,2,657931.19
6,2,3462,7781,61,6,0.419,10,1425079.05
6,3,3438,9021,0,10,0.779,10,1732693.93
6,1,2800,7302,16,1,0.355,9,1131741.97
6,5,3697,6838,15,2,0.983,7,1306843.6
6,4,626,7029,8,3,0.181,7,974520.77
5,2,1691,1164,52,9,0.591,10,1217756.52
3,1,3139,2600,72,5,0.09,8,1015942.69
6,3,4889,6758,58,10,0.734,8,1719125.87
3,2,4416,9896,8,10,0.995,9,1605905.69
3,3,1866,8236,11,2,0.819,2,726830.63
2,4,1519,5593,40,10,0.556,8,1153447.56
5,5,4579,8960,14,5,0.485,8,1577560.11
6,2,1184,979,65,5,0.835,5,784194.57
1,2,4129,4673,74,1,0.936,5,742400.35
4,4,3387,4760,10,3,0.989,4,1037663.69
7,1,1962,1986,7,5,0.397,5,1000559.56
1,5,4586,1573,54,9,0.991,2,1169457.21
5,2,2761,5260,5,10,0.156,2,1282427.68
4,5,4680,1152,52,1,0.254,5,1047939.64
5,2,3341,7743,19,8,0.089,3,1341978.2
3,5,2267,6002,38,1,0.272,1,676992.0
4,3,4680,6144,71,9,0.768,9,1543954.13
3,2,4060,5307,33,6,0.853,2,1068819.32
1,5,2612,5630,56,1,0.779,10,842804.62
1,1,1126,917,18,8,0.631,2,652906.59
4,3,4659,1281,70,5,0.514,4,1099592.23
4,3,3914,5087,30,7,0.709,2,1179861.99
6,1,1875,7602,39,7,0.391,7,1174791.62
5,5,1681,9098,13,7,0.841,10,1393971.11
6,4,990,5277,36,6,0.677,1,876641.12
5,1,4229,7333,43,8,0.698,2,1303940.91
6,5,4034,1043,8,9,0.536,5,1555654.1
3,1,3796,7812,57,2,0.885,2,820513.63
4,1,2440,1665,19,7,0.252,9,1157241.21
1,2,4908,6129,49,2,0.381,4,982417.08
5,5,2382,1403,19,6,0.778,9,1237043.83
5,4,3487,6556,35,2,0.493,1,972073.97
1,2,3659,4818,26,10,0.889,1,1104832.16
6,1,1181,5992,71,6,0.346,1,772012.43
5,1,1573,2815,31,2,0.369,4,664509.14
7,1,2887,4180,0,1,0.889,9,1073496.5
3,5,2894,4570,16,7,0.464,8,1326292.24
4,5,3193,6629,8,3,0.516,7,1171688.31
1,2,1870,2413,44,4,0.333,1,513460.46
4,4,4840,2679,65,6,0.277,3,1212151.58
7,2,2656,6172,31,5,0.656,9,1304056.24
5,3,3080,4908,44,4,0.12,9,1208612.43
5,1,4891,9778,8,9,0.879,5,1628265.18
7,1,2659,948,29,6,0.779,6,1129015.19
1,1,3748,2554,37,6,0.191,6,968182.2
3,2,4231,8178,59,2,0.694,10,1141934.44
2,2,4329,7481,0,6,0.603,4,1246256.57
1,1,2127,4556,4,7,0.185,1,787044.04
2,2,3972,9916,62,8,0.273,5,1302061.84
7,5,527,6192,35,8,0.409,1,1041136.38
6,5,2485,3852,64,9,0.699,1,1154936.87
2,2,4653,6492,77,10,0.639,5,1344684.78
3,1,2021,5018,72,3,0.532,5,668919.0
6,2,796,5603,23,10,0.768,7,1193368.94
2,2,2681,3177,3,7,0.758,2,916878.51
7,2,3902,5886,77,7,0.618,6,1389792.1
6,3,2796,3982,67,1,0.787,2,743506.17
7,5,3097,3960,24,8,0.334,10,1597792.64
2,4,1401,7376,73,4,0.881,5,720357.69
7,4,1598,9703,6,5,0.615,4,1173101.7
3,3,2177,3386,12,6,0.822,10,1112513.69
2,2,3381,3448,67,3,0.546,5,795870.96
2,3,1878,8113,42,5,0.218,2,841362.76
2,3,1748,2517,56,10,0.542,8,1102761.24
1,1,4235,6108,35,5,0.371,8,1152946.57
1,5,4741,8207,13,1,0.697,6,1098811.8
1,4,1764,1670,71,3,0.476,3,505530.02
3,2,2407,4374,26,3,0.836,4,777160.6
6,4,1558,6627,36,1,0.678,1,728593.03
7,4,3249,8786,70,7,0.685,9,1504173.54
5,5,2548,9262,75,1,0.217,10,1094135.31
2,4,4748,9541,24,7,0.984,5,1394549.64
7,4,2976,6569,66,4,0.842,8,1249318.61
2,3,4516,6533,3,9,0.789,3,1372396.94
3,5,3697,4040,78,7,0.33,4,1174242.12
2,1,4053,5693,73,5,0.536,4,985936.0
1,2,4940,1686,15,7,0.137,8,1271984.09
5,4,2261,6654,18,9,0.538,9,1448521.17
4,2,720,6118,28,10,0.146,3,994910.69
2,1,3388,3058,50,6,0.553,7,980661.72
7,2,2164,5182,17,1,0.649,9,1026797.96
1,1,4486,2585,57,6,0.39,2,946394.1
4,3,3477,8527,43,1,0.499,4,950883.63
5,4,2371,1095,15,4,0.876,3,931429.09
4,1,1962,3397,64,8,0.109,8,1082907.57
1,2,844,1480,1,5,0.792,4,561898.19
6,4,544,5690,55,5,0.171,9,1051230.97
6,3,2568,5098,78,10,0.037,1,1220177.94
4,4,2014,1124,27,8,0.186,1,945708.81
3,1,3098,8752,64,8,0.765,4,1149726.05
7,3,1501,1786,4,1,0.405,3,774779.58
7,2,1533,3918,21,5,0.873,3,937545.92
4,3,2540,1560,12,5,0.525,10,1114639.35
2,3,773,8558,64,8,0.022,2,840410.77
2,5,3147,1706,15,1,0.717,10,963755.51
7,3,2279,6299,63,7,0.11,10,1402044.76
7,3,4976,1164,31,7,0.789,2,1374299.37
6,4,978,8569,79,9,0.168,8,1288522.01
3,2,1015,4213,50,2,0.345,1,472046.27
1,4,4786,8827,78,3,0.761,8,1142434.44
2,4,1691,8739,57,4,0.954,10,936160.2
7,1,3168,3881,45,1,0.371,3,903357.46
6,4,1911,6248,51,7,0.829,2,1034863.06
5,5,3780,4058,62,10,0.191,9,1605250.32
6,5,771,2907,75,3,0.807,5,738865.1
2,1,642,8728,59,3,0.657,5,584623.3
2,2,3832,3733,64,3,0.193,6,910993.12
6,2,1287,3629,54,8,0.303,4,1033015.46
1,4,2181,9433,56,9,0.132,7,1179495.81
4,4,1122,5806,70,10,0.383,7,1176609.82
2,4,4341,2359,72,2,0.204,9,1081106.83
6,2,4176,2541,25,10,0.644,6,1500879.06
7,3,3072,6630,11,10,0.995,1,1410830.71
6,5,3760,8323,70,1,0.012,9,1337035.65
3,3,566,1425,45,9,0.541,10,993201.78
4,3,4786,2490,46,6,0.574,9,1387655.77
5,2,1640,9082,78,9,0.914,5,1141509.98
1,3,2814,7110,37,6,0.506,7,1049901.62
5,1,3032,3806,20,2,0.544,1,758615.48
4,4,4080,5102,13,1,0.472,4,1061185.75
4,1,1687,1888,1,8,0.269,10,1115191.03
4,5,4971,6807,71,3,0.056,4,1235024.17
5,4,3839,5411,69,1,0.409,5,1039098.51
7,3,1048,8728,32,8,0.053,6,1262539.15
4,5,4587,5290,5,1,0.55,4,1127366.07
6,4,572,9178,36,8,0.307,6,1200435.28
5,3,698,2397,13,1,0.534,10,758477.7
4,1,3701,4547,36,9,0.134,7,1339915.49
6,4,2281,3470,7,9,0.933,3,1251460.28
7,3,1071,9231,76,9,0.895,9,1310731.53
3,1,1290,3380,12,3,0.19,8,740026.54
7,5,2138,8232,39,4,0.343,1,1088289.05
4,5,2331,9130,57,5,0.613,2,1015459.75
5,5,2355,3306,17,6,0.096,2,1071224.9
2,5,1674,5525,56,9,0.355,10,1203803.36
4,2,4240,5100,37,4,0.251,9,1282157.85
2,4,3777,9559,31,6,0.916,9,1365927.23
6,4,678,7802,65,1,0.853,9,831594.14
3,2,2744,9873,76,2,0.58,1,736833.77
1,3,4586,6931,24,8,0.52,7,1388244.0
7,3,1234,9631,57,4,0.931,3,956236.15
3,5,1298,5337,74,10,0.932,9,1175686.18
4,1,1287,3135,32,7,0.969,8,922443.49
2,3,3295,5121,65,4,0.125,3,864820.02
7,1,4804,3785,29,9,0.161,1,1467487.07
2,4,3584,1359,33,9,0.677,9,1350279.29
5,1,3418,1513,68,4,0.541,10,1081689.61
2,4,1231,5393,47,8,0.018,1,850275.75
5,2,1629,4788,39,6,0.062,3,923078.87
6,2,3946,7003,50,1,0.888,6,1086389.38
7,5,2105,1056,79,7,0.869,6,1172077.93
7,3,4278,9568,12,1,0.357,10,1474155.85
1,5,3245,837,30,3,0.891,4,761764.01
4,4,3670,9452,38,8,0.594,2,1311290.5
5,5,3433,2632,62,9,0.806,10,1506424.43
1,1,1715,8400,47,3,0.427,6,694787.56
